,Title,Date,Project Center,Location,Subject Terms,Link,Alternative Link,Advisors,Initials,Notes,Link to summary,Goal,Stakeholders,Impact,Headline,Follow-up,Category,Sub_Category
86,A Radical Feminist Critique Of The Video Game Industry,4/28/2016,On-campus,"Worcester, MA",Video Games |women--social Conditions,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832860104746&docid=alma9936832860104746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-042816-115843/unrestricted/badumas_IQP.pdf,"Sanbonmatsu, John",CS,More of a research paper- not really any recommendations given,https://docs.google.com/document/d/1lrnmbASGfomeVBDKQLUlPTVlafx0kHmV6-x4VqfY_zs/edit?usp=sharing,To discuss the objectification of women in video games,"Video game industry, people who play video games","Reveals how societal values are reflected in the video game industry through the various tropes of female characters in video games (damsel in distress, ""Ms. Male character,"" sexual objectification of females)",A Radical Feminist Critique of the Video Games Industry,,Business,No Sub-Category
87,The Mix Of Media And Decadence,08-05-04,On-campus,"Worcester, MA",Equality | Women,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832790304746&docid=alma9936832790304746&lang=en,http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/06E004I.pdf,"Quinn, Patrick J.",AN,Research paper- no recommendations provided,https://docs.google.com/document/d/1Nc_T6FmqZVb3PaIqUmwHmfbY0qJ6oClY2xt4-eBe8uA/edit?usp=sharing,"Follows the history of burlesque, pinups, and striptease as it establishes her ascendance in advertising and third-wave feminism as a key element in public discourse",,Follows the history of femme fatale in American pop culture,"Burlesque, pinups, striptease, and feminism in public discourse",,Business,No Sub-Category
78,Internet Privacy: Public Perceptions Of Security And Convenience,Feb-12,On-campus,"Worcester, MA",Human-computer Interaction,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832669004746&docid=alma9936832669004746&lang=en,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=3044&context=iqp-all,"Rissmiller, Kent J.",CS,Gender was just one component of the analysis,https://docs.google.com/document/d/1_V7PN2G9CYzZX8Q1aGCt1D9w1yrIpmVcOwgWkFIOyxs/edit?usp=sharing,"To determine how Internet users’ educational background, gender, and amount of time spent online affect their preference for privacy or convenience within the services of social networking, e-commerce, and online banking",People who use the internet,"Results included: non-WPI students ranked themselves higher in knowledge about internet privacy than WPI students, males believed they were more knowledgeable about internet privacy than females, males believed they were more knowledgeable than females about protecting themselves from online threats, more females valued privacy over convenience
",Gender and internet privacy,,Business,Technology
79,Website Development For Association Solidarité Féminine,10-12-16,"Rabat, Morocco","Rabat, Morocco",Websites--design And Construction | Women In Development | Women--social Conditions,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936833127904746&docid=alma9936833127904746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-101216-072347/unrestricted/Wesbite_Development_ASF_IQP_Report.pdf,"Shockey, Ingrid K.| Somasse, Gbetonmasse B.",AN,Lots of visuals in the report,https://docs.google.com/document/d/121Nj8VrLb2R0h1YTCW8_1hWlJLq31xnzblwy9ZjokXc/edit?usp=sharing,"To create a website for the Association Solidarité Féminine organization (ASF) by understanding the mission, outreach, the client base, and the constituents",Association Solidarité Féminine,Developed a website template for the Association (located at https://solfem.wordpress.com/),Website development for org supporting single moms,,Business,Technology
80,"Women Weavers Of Ain Leuh, Morocco: Use Of Internet Technology & Global Marketing",10/28/2008,"Rabat, Morocco","Ain Leuh, Morocco",Women--effect Of Technological Innovations On | Equality | Community Development,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832995004746&docid=alma9936832995004746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-102808-144001/unrestricted/WomenWeaversInAinLeuh[1].pdf,"Addison, W. A.| El-Korchi, Tahar",AN,,https://docs.google.com/document/d/1ey7MsrFMOoA9sctLgrZMf0YFvtZPEuPoAoUba4UET4w/edit?usp=sharing,"To create a website for the women of the Cooperative des Tisseuses d’Ain Leuh, which is located in Ain Leuh, Morocco",Cooperative des Tisseuses d’Ain Leuh,A website was constructed for The Cooperative des Tisseuses d’Ain Leuh,Website development for weavers in Morocco,,Business,Technology
81,Women's Environmental Network: Improving An Internet Presence,6/25/2009,"London, England","London, England",Women | Interactive Multimedia | Websites--design And Construction,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832970304746&docid=alma9936832970304746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-062509-125010/unrestricted/WomensEnvironmentalNetwork_IQP_E09.pdf,"Elmes, Michael B.| Higgins, Lorraine D.",AN,,https://docs.google.com/document/d/1qnQEZ561eAC8QsRQaQf7XLo-8RnbV97ZUyetHOpsWr8/edit?usp=sharing,To determine how to achieve the most effective internet presence and to educate the Women's Environmental Network on these findings,Women's Environmental Network,"Developed a Facebook page, prototype designs for an updated website, and recommendations for future maintenance and improvement",Website development for women's environmental org in England,,Business,Technology
82,Technology In Service Of The Poor: An Assessment Of A Unique Poverty Diagnostic Tool And Its Implementation In Paraguay,9/17/2014,"Asunción, Paraguay","Asunción, Paraguay",Women--economic Aspects | Women Entrepreneurs | Women In Development,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936833126804746&docid=alma9936833126804746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-091714-101414/unrestricted/Paraneers.pdf,"Traver, Robert W.",AN,,https://docs.google.com/document/d/1IsyVJUts1OtsnKfsf2BHzdLdfwvTp83CknLfcd74kVg/edit?usp=sharing,To improve the monitoring system in place for tracking income poverty in the Poverty Stoplight Program developed by Fundacion Paraguaya,"Fundación Paraguaya, people benefitting from the Poverty Stoplight Program",Provided recommendations to improve the Poverty Stoplight Program from a management perspective,Women and the Poverty Stoplight Program - Paraguay,,Business,Technology
88,Worcester Women's Oral History Project,01-01-06,On-campus,"Worcester, MA",Women | Historic Preservation | Museum Exhibits,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832781204746&docid=alma9936832781204746&lang=en,https://web.wpi.edu/Pubs/E-project/Scanned/06B016I/06B016I.pdf,"Demetry, James S.",AN,,https://docs.google.com/document/d/1qz48TW7p7UuMk2bPDfIzMRnDX_gvyQuJ2lmUnU-o6Oo/edit?usp=sharing,To investigate the feasibility of creating a permanent site of women’s oral history at the new Worcester Visitor Center,"Worcester Visitor Center, Worcester community",Designed a directory and offered recommendations to enable a feasible implementation of the site; designed a database to store oral interviews,Worcester women's oral history project,,Cultural,No Sub-Category
89,Insurance Versus Gambling -- How Context Affects Risk-taking Behavior.,Jan-99,On-campus,"Worcester, MA",Risk Management,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832776504746&docid=alma9936832776504746&lang=en,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=5594&context=iqp-all ,"Rulnick, John M.",CS,Gender is a significant predictor of risk taking,https://docs.google.com/document/d/1oNZ88gLewIjzuTJ7qjLfJagxbUbNfQlvXGgVwaYFfHk/edit?usp=sharing,To determine if context of gambling versus insurance is one of the major determining factors in risky decision making,People who take risks,Females appeared to be more risk-averse than males,Gender as a predictor of risk taking,,Cultural,No Sub-Category
90,Art Culture And Fractal Dimension,08-08-16,On-campus,"Worcester, MA",Mathematical Models,https://digitalcommons.wpi.edu/iqp-all/5371/,https://web.wpi.edu/Pubs/E-project/Available/E-project-081116-152754/unrestricted/Report-2.pdf,"Humi, Mayer",AN,explores difference between male and female painters; only one aspect of report,https://docs.google.com/document/d/1qj5EC1cfhNXkaPKQ8cQmCyg7f_QHFuI9w1JOOcxAD-Y/edit?usp=sharing,To explore the relationships between fractal dimension and aesthetic painting analysis,,Fractal dimension of these paintings is correlated closely with the artist career and the prevailing culture,Gender differences in art culture and fractal dimension,,Cultural,No Sub-Category
91,The Xhubleta: A Woman's Perspective,12/14/2018,"Tirana, Albania","Tirana, Albania",Women--social Conditions,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936895943604746&docid=alma9936895943604746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-121418-085048/unrestricted/XhubletaBook.pdf,"Dodson, Leslie L.| Hersh, Robert",AN,Visually pleasing report,https://docs.google.com/document/d/13XejBnoEziFFCCokvnt71Wi5-8KshN1NXkl8yiLUY6I/edit?usp=sharing,"To understand and document the changing experience of women in northern Albania over the past century, using a traditional costume, the xhubleta, as a lens to see into their lives","GO2 Albania, women in Albania","Found contradictions surrounding the various cultural meanings assigned to the dress, with women’s subjugation under patriarchal customs co-existing with women’s pride in wearing it;
the dress is seen as an object, unattached to the lives of the wearers., which is very different from the ways the xhubleta was seen in the past
",Women's perspective on Albanian traditional dress,,Cultural,No Sub-Category
92,College Perceptions Of Instant Messaging -- A Technology Fluxus,Jan-07,On-campus,"Worcester, MA",Human-computer Interaction,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832815704746&docid=alma9936832815704746&lang=en,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=4734&context=iqp-all,"Taylor, Steven S.",CS,"Interview transcripts had mentions of how women tend to get more offended than men if a miscommunication arises, but there was no mention of women otherwise",https://docs.google.com/document/d/1UIpfPW4phL6bnVnYddvYAEihBl8T9xRn2jDXaLY-nA0/edit?usp=sharing,To capture and share college-age students’ perceptions of instant messaging,"College students, people who use IM","Common themes from interviews were personal IM history, benefits of IM, relationships, and communication",,,Cultural,No Sub-Category
93,The Effect Of An Educational Video On The Acceptance Of Nanotechnology,Feb-08,On-campus,"Worcester, MA",Science--study And Teaching,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832614504746&docid=alma9936832614504746&lang=en,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=2323&context=iqp-all,"Burnham, Nancy A.",CS,"More focused on overall results, but examined them based on gender as well; lots of figures in the report",https://docs.google.com/document/d/1GIgXCzqVk2lJKPwLBqnPe3CLAyf3OVWRLXo9p8J83Xg/edit?usp=sharing,To examine the effect of education about nanotechnology on acceptance,People who develop/use nanotechnology (focusing on college students),Found that girls consider mathematics more difficult and have a much more negative opinion of the subject,,,Cultural,No Sub-Category
16,Aspirations Of Young Women In Worcester's Private Schools.,01-01-05,On-campus,"Worcester, MA",Women--social Conditions|women -- Education -- Science,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832798804746&docid=alma9936832798804746&lang=en,http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/05E009I.pdf,"Wilkes, John M. | Tomazewski, Elizabeth",CS,,https://docs.google.com/document/d/15e8kiUtgGNFnx-hJ44taTO1sZuSg4q-tbgfjub_VN0I/edit?usp=sharing,To determine if the next generation of Worcester was moving towards gender equity,"Worcester City Manager, Worcester students","Not many differences between career aspirations of students in private/charter schools when compared with public schools overall; more females in public schools aspiring to careers in business, medical practice, and law, which are typically male-dominated; more students in private/charter schools interested in college than students in public schools; no correlation between ethnicity and future plans in private/charter schools; more ethnic students had career reservations because people of their gender either did not go into that field or they thought college was too difficult; Catholic schools were far more gender stereotypical in all but two areas",Studying gendered career interests in Worcester private schools,,Education,Gender Equity
17,Career Aspirations And Gender Identity In Coed And Single Sex High Schools,01-01-06,On-campus,"Worcester, MA","Women In Science | Education, Secondary",http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/06E039I.pdf,http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/06E039I.pdf,"Wilkes, John M.",CS,Interesting conclusion- says that masculine females will be the ones paving the way towards gender equity,https://docs.google.com/document/d/1ICsLMUXTX-4Vzhl8dBJYrQhJHzh8FWacoD2-af3Nr3Y/edit?usp=sharing,To determine how gender mix in a school affects the aspirations and self image of the students in roughly comparable private parochial high schools,Worcester parochial school students,Draws the conclusion that masculine-females will pave the way toward gender equity,Stuyding gendered career interests in Worcester schools,Follow up study would be ideal,Education,Gender Equity
18,Comparative Aspirations Study On Worcester Secondary Schools,04-11-09,On-campus,"Worcester, MA",Women--social Conditions | Women--education--science,https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936861990604746&docid=alma9936861990604746&lang=en,http://www.wpi.edu/Pubs/E-project/Available/E-project-041109-104307/unrestricted/DevinandNadiaIQP_REPORT.pdf,"Wilkes, John M.",CS,,https://docs.google.com/document/d/1pzWXMJZMNwQUz3J4xX-y7SUdDit9BViKgnpBzPWMfMk/edit?usp=sharing,To determine if females were as likely to aspire to the same profession as males; to determine if females were considering the same range of possibilities as males; to determine if females were considering promising job prospects at the moment,"Advisory Council on the Status of Women, Worcester high school students",Showed differences in career aspirations in public versus private schools,Studying gendered career interests in Worcester secondary schools,,Education,Gender Equity
19,Gender-based Comparative Survey Of Public Hs Students.,01-01-05,On-campus,"Worcester, MA","Equality|education, Secondary",https://wpi.primo.exlibrisgroup.com/discovery/fulldisplay?context=L&vid=01WPI_INST:Default&search_scope=studentWorks&tab=https:%2F%2Fwpi.primo.exlibrisgroup.com%2Fpermalink%2F01WPI_INST%2F12krsei%2Falma9936832939804746&docid=alma9936832939804746&lang=en,http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/05C022I.pdf,"Wilkes, John M.|Tomaszewski, Elizabeth",CS,Results analyzed by gender and ethnicity,https://docs.google.com/document/d/1yEfULF6oD1gC12QgLMi6Nv6LqWwGOgAUg_6Ddh4JPNA/edit?usp=sharing,Gather and organize information on the aspirations of the students in Worcester Public High Schools class of 2006,"Worcester high school students, Worcester City Manager’s Committee on the Status of Women","Content words- females higher in categories of friend, female, sexual, archive, and reward; males higher in clout and words per second",Studying gendered career interests in Worcester schools,,Education,Gender Equity
